P10101,P10202,P10303,P10404,P10505,P10606,P10707,P10808,P20109,P20210,P20311,P20412,P20513,P20614,P20715,P30116,P30217,P30318,P40119,P40220,P40321,P40422,P40523,P40624,P40725,P50126,P50227,P50328,P50429,P50530,P50631,P60132,P60233,P60334,P60435,P70136,P70237,P70338
2024C02876,Martínez,Rivera,Cecilia,cecilia_martinez@universidad-sysac.edu.mx,cecilia_martinez@hotmail.com,5553355628,2026-02-16,Licenciatura en Derecho,LIDE2020MX,4,Sí,3,Sí,Económica,Beca de transporte,NA,53370,Con pareja,2,"$10,001-$15,000",Padre,Sí,26,No,"Trabajo propio, Apoyo familiar",No,NA,1587,No,Solo internet,Sin estudios,Posgrado,No,No,Sí,Sí,Sí
2024B06753,CAMACHO,VÁZQUEZ,ELENA,elena.camacho@universidad-sysac.edu.mx,elena_camacho492@live.com.mx,3344920685,2026-01-19,Licenciatura en Contaduría Pública,LICO2020MX,4,Sí,5,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$5,001-$10,000",El propio estudiante,Sí,35,Sí,"Apoyo gubernamental, Crédito educativo, Trabajo propio",No,NA,1201,No,Sí a ambos,Preparatoria,Preparatoria,Sí,Sí,Sí,Sí,Sí
2021A04582,Flores,Martínez,Salvador Gustavo,salvador.flores@universidad-sysac.edu.mx,salvador_flores863@live.com.mx,3310701535,2026-02-27,Licenciatura en Administración de Empresas,LIAD2020MX,5,No,NA,No,NA,Beca de colegiatura,9.5,NA,Con padres o tutores,7,"Menos de $5,000",Beca o apoyo gubernamental,No,NA,NA,"Ahorro, Crédito educativo",No,NA,663,No,Sí a ambos,Preparatoria,Secundaria,Sí,Sí,Sí,Sí,No
2022B06025,Carmona,Rojas,Guadalupe,guadalupe_carmona@universidad-sysac.edu.mx,guadalupe_carmona85@yahoo.com.mx,8133527228,2026-01-22,Maestría en Psicopedagogía,LIPS2020MX,4,Sí,2,No,NA,Beca de inscripción/reinscripción,NA,NA,Con pareja,4,"$5,001-$10,000",Madre,Sí,15,No,Trabajo propio,No,NA,1703,No,Solo computadora,Licenciatura,Preparatoria,No,No,Sí,Sí,Sí
2024B00553,Gutiérrez,Silva,Jesús,jesus.gutierrez@universidad-sysac.edu.mx,jesusgutierrez@hotmail.com,5534522236,2026-01-07,Ingeniería en Sistemas Computacionales,LISC2020MX,4,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"$15,001-$25,000",Padre,Sí,5,Sí,Trabajo propio,No,NA,649,Sí,Sí a ambos,Posgrado,Preparatoria,No,Sí,Sí,Sí,Sí
2020B05013,Aguilar,Domínguez,Claudia,claudiaaguilar@universidad-sysac.edu.mx,claudiaaguilar986@hotmail.com,5592036350,2026-01-26,Ingeniería Industrial,LIIN2020MX,4,Sí,4,Sí,Académica,Beca de colegiatura,7.2,NA,Solo/a,2,"$5,001-$10,000",Otro familiar,No,NA,NA,"Beca de otra institución, Trabajo propio",No,NA,494,No,Sí a ambos,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
2019C07750,Trejo,Delgado,Héctor,hector_trejo@universidad-sysac.edu.mx,hectortrejo93@icloud.com,2212887284,2026-02-26,Licenciatura en Ciencia de Datos,LICI2020MX,5,Sí,6,Sí,Económica,Beca de colegiatura,7.1,NA,Con pareja,4,"$10,001-$15,000",Madre,Sí,6,No,"Beca de otra institución, Ahorro",Sí,"Beca estatal $1,000",2111,No,Sí a ambos,Licenciatura,Secundaria,No,No,Sí,Sí,Sí
2024A03772,Ruiz,Contreras,Gabriela Jessica,gabrielaruiz@universidad-sysac.edu.mx,gabrielaruiz@gmail.com,3379628128,2026-01-15,Licenciatura en Mercadotecnia,LIME2020MX,4,Sí,3,No,NA,Beca de colegiatura,7.1,NA,Con padres o tutores,2,"$15,001-$25,000",El propio estudiante,Sí,28,No,"Beca de otra institución, Apoyo gubernamental, Apoyo familiar",No,NA,171,No,Sí a ambos,Primaria,Secundaria,Sí,Sí,Sí,Sí,Sí
2023B03843,Flores,Soto,Raúl,raulflores@universidad-sysac.edu.mx,raul_flores99@yahoo.com.mx,5513358890,2026-01-28,Licenciatura en Ciencia de Datos,LICI2020MX,5,Sí,4,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,4,"$5,001-$10,000",Padre,Sí,27,No,Ahorro,No,NA,2072,No,Sí a ambos,Preparatoria,Preparatoria,Sí,Sí,Sí,Sí,Sí
2024B06046,Figueroa,Moreno,Natalia,natalia.figueroa@universidad-sysac.edu.mx,natalia.figueroa160@icloud.com,56672154420,2026-05-21,Licenciatura en Derecho,LIDE2020MX,4,Sí,2,No,NA,Beca de colegiatura,7.9,NA,Con padres o tutores,4,"Menos de $5,000",Padre,No,NA,NA,"Apoyo familiar, Trabajo propio, Crédito educativo",No,NA,1702,No,Sí a ambos,Posgrado,Secundaria,No,No,Sí,Sí,Sí
